frame,x_head,y_head,x_foot,y_foot,x_ball,y_ball,label
2,418,38,371,361,378.0,251.0,stand
3,418,35,388,372,365.0,231.0,stand
4,418,33,407,380,366.0,214.0,stand
5,418,31,420,388,364.0,199.0,stand
6,417,29,422,392,353.0,194.0,stand
7,417,28,425,392,352.0,201.0,stand
8,416,27,430,392,343.0,189.0,stand
14,405,44,341,371,325.0,264.0,stand
15,403,44,317,346,323.0,294.0,stand
21,387,31,400,388,334.0,183.0,stand
22,387,30,405,388,342.0,163.0,stand
23,387,29,404,390,339.0,155.0,stand
24,387,29,410,387,342.0,149.0,stand
25,386,29,418,385,349.0,148.0,stand
26,386,28,414,386,346.0,145.0,stand
27,386,28,408,388,350.0,149.0,stand
28,386,28,404,391,352.0,157.0,stand
30,387,30,404,390,357.0,187.0,stand
37,402,36,406,370,348.0,224.0,stand
38,402,34,403,372,341.0,204.0,stand
39,402,30,402,378,330.0,193.0,stand
40,401,28,404,388,318.0,194.0,stand
41,401,24,397,393,313.0,183.0,stand
42,401,23,394,392,305.0,182.0,stand
43,400,24,388,386,296.0,185.0,stand
44,399,24,361,374,289.0,192.0,stand
45,397,26,325,355,281.0,202.0,stand
46,397,29,288,341,274.0,219.0,stand
47,396,33,251,308,265.0,239.0,stand
48,396,33,250,259,260.0,260.0,kick
50,396,32,247,285,273.0,199.0,stand
51,395,27,264,303,273.0,177.0,stand
52,394,22,276,335,274.0,157.0,stand
53,393,16,324,364,277.0,138.0,stand
54,393,14,359,384,279.0,124.0,stand
55,393,13,383,394,280.0,110.0,stand
56,393,13,390,397,285.0,105.0,stand
57,393,13,391,398,285.0,98.0,stand
58,392,14,392,399,278.0,93.0,stand
59,392,14,400,395,284.0,98.0,stand
60,392,14,395,397,287.0,105.0,stand
61,394,15,397,391,290.0,116.0,stand
62,394,19,398,392,294.0,134.0,stand
63,396,21,396,393,286.0,152.0,stand
64,397,23,396,396,302.0,181.0,stand
68,401,27,398,398,313.0,220.0,stand
69,402,27,398,398,315.0,194.0,stand
70,402,25,395,394,315.0,174.0,stand
71,403,24,395,388,316.0,157.0,stand
72,403,23,410,388,321.0,145.0,stand
73,403,23,407,394,320.0,136.0,stand
74,403,22,406,401,322.0,131.0,stand
75,403,22,405,402,324.0,128.0,stand
76,403,22,403,402,327.0,132.0,stand
77,403,23,403,402,335.0,140.0,stand
78,403,24,399,398,332.0,147.0,stand
85,403,41,336,374,355.0,330.0,kick
87,400,39,347,364,354.0,283.0,stand
88,396,39,356,371,358.0,262.0,stand
89,393,38,377,392,356.0,248.0,stand
90,391,38,406,401,354.0,235.0,stand
91,388,38,415,402,364.0,224.0,stand
93,387,38,421,401,357.0,219.0,stand
94,387,38,421,401,359.0,222.0,stand
95,388,40,417,401,370.0,240.0,stand
96,388,42,413,400,369.0,249.0,stand
97,388,43,420,392,370.0,263.0,stand
98,389,44,420,380,366.0,273.0,stand
100,390,41,415,394,373.0,323.0,stand
101,391,40,414,395,366.0,303.0,stand
102,393,38,418,395,358.0,282.0,stand
103,394,36,413,391,349.0,262.0,stand
104,394,34,411,389,341.0,242.0,stand
105,395,33,411,395,332.0,227.0,stand
